order,slug,name,category,biome,subject,palette_mood,design_mood,status
246,morphous-wheat-head,Wheat Head,plant,wheat field,wheat head,gold awn tan green shadow,clear productivity system,queued
247,morphous-barley-awn,Barley Awn,plant,grain field,barley awns,straw gold pale green sky blue,precise agriculture system,queued
248,morphous-oat-panicle,Oat Panicle,plant,cool field,oat panicle,cream grain green stem soft grey,light scheduling system,queued
249,morphous-maize-husk,Maize Husk,plant,corn field,maize husk,yellow kernel husk green silk brown,modular marketplace system,queued
250,morphous-tea-leaf,Tea Leaf,plant,mountain tea field,tea leaves,deep green new leaf lime mist,calm ritual system,queued
251,morphous-mint-sprig,Mint Sprig,plant,herb garden,mint sprig,cool green pale stem white flower,fresh utility system,queued
252,morphous-rosemary,Rosemary,plant,mediterranean garden,rosemary sprig,needle green lavender blue wood brown,focused kitchen system,queued
253,morphous-thyme,Thyme,plant,stone garden,thyme sprig,olive green tiny lilac stone grey,compact recipe system,queued
254,morphous-basil,Basil,plant,kitchen garden,basil leaves,emerald green soft stem soil brown,fresh creator system,queued
255,morphous-cilantro,Cilantro,plant,market garden,cilantro leaf,lime green pale stem cream,quick task system,queued
256,morphous-dill,Dill,plant,herb bed,dill umbel,feathery green yellow seed,airy data system,queued
257,morphous-fennel,Fennel,plant,coastal field,fennel frond,anise green yellow umbel sand,light culinary system,queued
258,morphous-lemongrass,Lemongrass,plant,tropical herb garden,lemongrass stalk,pale green straw yellow shadow,clean service system,queued
259,morphous-ginger,Ginger,plant,tropical understory,ginger rhizome,warm tan pink shoot leaf green,grounded health system,queued
260,morphous-turmeric,Turmeric,plant,tropical garden,turmeric rhizome,orange root green leaf cream,vivid wellness system,queued
261,morphous-beetroot,Beetroot,plant,vegetable garden,beetroot root,beet purple leaf green soil brown,rich admin system,queued
262,morphous-rainbow-chard,Rainbow Chard,plant,kitchen garden,chard stems,magenta yellow green leaf,accessible data system,queued
263,morphous-red-cabbage,Red Cabbage,plant,vegetable bed,red cabbage head,purple leaf wax blue vein,layered planning system,queued
264,morphous-artichoke,Artichoke,plant,mediterranean field,artichoke bud,sage green purple heart stem,architectural content system,queued
265,morphous-asparagus,Asparagus,plant,spring field,asparagus spear,green spear purple tip soil,slender inventory system,queued
266,morphous-fiddlehead,Fiddlehead Fern,plant,spring forest,fiddlehead curl,fern green brown fuzz moss,organic onboarding system,queued
267,morphous-spirulina,Spirulina,plant,alkaline pond,spirulina spiral,blue green teal water white,clean nutrition system,queued
268,morphous-green-algae,Green Algae,plant,freshwater pond,algae filaments,lime green translucent water,network science system,queued
269,morphous-red-algae,Red Algae,plant,rocky tidepool,red algae fronds,burgundy red coral pink sea teal,marine content system,queued
270,morphous-diatom,Diatom,microorganism,plankton bloom,diatom shell,glass gold silica blue shadow,precise microscopy system,queued
271,morphous-morel,Morel,fungi,spring woodland,morel mushroom,honeycomb tan dark hollow moss green,crafted catalog system,queued
272,morphous-porcini,Porcini,fungi,pine forest,porcini mushroom,chestnut cap cream stem moss green,hearty culinary system,queued
273,morphous-shiitake,Shiitake,fungi,oak log,shiitake cap,brown cap cream gill bark,practical food system,queued
274,morphous-enoki,Enoki,fungi,winter wood,enoki cluster,ivory stem pale gold cap,slender workflow system,queued
275,morphous-lions-mane,Lions Mane,fungi,hardwood forest,lions mane fungus,cream tendril shadow brown,soft knowledge system,queued
276,morphous-reishi,Reishi,fungi,fallen hardwood,reishi bracket,red lacquer cream edge bark,meditative health system,queued
277,morphous-turkey-tail,Turkey Tail,fungi,rotting log,turkey tail bands,teal brown cream rust bands,layered documentation system,queued
278,morphous-puffball,Puffball,fungi,meadow,puffball fungus,white sphere grass green soil,plain language system,queued
279,morphous-ink-cap,Ink Cap,fungi,urban lawn,ink cap mushroom,white cap ink black grey,ephemeral notes system,queued
280,morphous-waxcap,Waxcap,fungi,unimproved meadow,waxcap mushroom,scarlet orange wax green grass,bright field system,queued
281,morphous-elf-cup,Elf Cup,fungi,damp woodland,scarlet cup fungus,scarlet cup moss green twig brown,compact alert system,queued
282,morphous-earthstar,Earthstar,fungi,sandy woodland,earthstar fungus,tan star dark spore soil,celestial catalog system,queued
283,morphous-birds-nest-fungus,Birds Nest Fungus,fungi,woodchip bed,birds nest fungus,brown cup silver egg mulch,miniature component system,queued
284,morphous-amanita-caesarea,Caesars Mushroom,fungi,oak woodland,caesars mushroom,orange cap yellow gill green moss,royal culinary system,queued
285,morphous-indigo-milkcap,Indigo Milkcap,fungi,pine woods,indigo milkcap,blue indigo gill forest green,striking analytics system,queued
286,morphous-wood-ear,Wood Ear,fungi,elder branch,wood ear fungus,translucent brown bark grey,flexible media system,queued
287,morphous-snow-fungus,Snow Fungus,fungi,subtropical forest,snow fungus,white jelly amber wood shadow,delicate wellness system,queued
288,morphous-witches-butter,Witches Butter,fungi,wet woodland,jelly fungus,golden yellow bark brown rain grey,playful warning system,queued
289,morphous-lichen-cup,Lichen Cup,fungi,alpine stone,cup lichen,pale green cup grey stone rust,weathered documentation system,queued
290,morphous-shelf-fungus,Shelf Fungus,fungi,old forest,bracket fungus,umber brown cream rings moss green,stacked navigation system,queued
291,morphous-swallowtail,Swallowtail Butterfly,insect,garden meadow,swallowtail wing,yellow black blue spot green,graceful portfolio system,queued
292,morphous-morpho-butterfly,Morpho Butterfly,insect,tropical forest,morpho wing,iridescent blue black green shadow,luminous media system,queued
293,morphous-glasswing,Glasswing Butterfly,insect,cloud forest,glasswing butterfly,transparent wing amber vein leaf green,light interface system,queued
294,morphous-painted-lady,Painted Lady Butterfly,insect,open meadow,painted lady wing,orange black cream pink flower,portable campaign system,queued
295,morphous-blue-admiral,Blue Admiral Butterfly,insect,rainforest edge,blue admiral wing,black wing blue band leaf green,sharp content system,queued
296,morphous-praying-mantis,Praying Mantis,insect,garden stem,mantis profile,leaf green tan eye dark,focused command system,queued
297,morphous-orchid-mantis,Orchid Mantis,insect,tropical flower,orchid mantis,white pink petal green shadow,camouflaged luxury system,queued
298,morphous-leaf-insect,Leaf Insect,insect,rainforest canopy,leaf insect,green leaf vein brown edge,adaptive design system,queued
299,morphous-stick-insect,Stick Insect,insect,woodland branch,stick insect,bark brown moss green twig grey,minimal tooling system,queued
300,morphous-jewel-beetle,Jewel Beetle,insect,tropical forest,jewel beetle shell,metallic green gold blue black,premium dashboard system,queued
301,morphous-stag-beetle,Stag Beetle,insect,oak forest,stag beetle mandibles,mahogany shell black oak tan,strong admin system,queued
302,morphous-rhinoceros-beetle,Rhinoceros Beetle,insect,tropical forest,rhinoceros beetle horn,gloss brown black amber,heavy operations system,queued
303,morphous-firefly,Firefly,insect,summer meadow,firefly glow,lime glow night blue grass green,ambient messaging system,queued
304,morphous-lacewing,Lacewing,insect,garden leaf,lacewing wings,pale green glass wing gold eye,delicate support system,queued
305,morphous-damselfly,Damselfly,insect,stream bank,damselfly body,azure blue reed green clear wing,slender analytics system,queued
306,morphous-mayfly,Mayfly,insect,river hatch,mayfly wings,cream wing brown body water blue,ephemeral feed system,queued
307,morphous-stonefly,Stonefly,insect,mountain stream,stonefly on rock,smoky brown stone grey water teal,rugged field system,queued
308,morphous-caddisfly,Caddisfly,insect,forest stream,caddisfly case,pebble tan leaf fragment water,assembled component system,queued
309,morphous-cricket,Cricket,insect,grassland,field cricket,black shell amber leg grass green,night audio system,queued
310,morphous-grasshopper,Grasshopper,insect,prairie grass,grasshopper profile,olive green tan wing straw,field mobility system,queued
311,morphous-katydid,Katydid,insect,summer canopy,katydid leaf wing,leaf green vein lime dark,discreet collaboration system,queued
312,morphous-cicada-wing,Cicada Wing,insect,summer forest,cicada wing detail,clear amber vein bark grey,transparent design system,queued
313,morphous-assassin-bug,Assassin Bug,insect,tropical leaf,assassin bug,black red orange leg green leaf,sharp security system,queued
314,morphous-water-strider,Water Strider,insect,still pond,water strider on surface,black body silver ripple green,lightweight interaction system,queued
315,morphous-diving-beetle,Diving Beetle,insect,freshwater pond,diving beetle,olive black shell water teal,submerged control system,queued
316,morphous-pond-skater,Pond Skater,insect,garden pond,pond skater shadow,ink black water blue reed green,balanced interface system,queued
317,morphous-bumblebee,Bumblebee,insect,wildflower meadow,bumblebee fuzz,yellow black fuzzy cream pollen,productive team system,queued
318,morphous-mason-bee,Mason Bee,insect,orchard bloom,mason bee,metallic blue black blossom white,craft operations system,queued
319,morphous-leafcutter-bee,Leafcutter Bee,insect,garden rose,leafcutter bee,amber body green leaf cut cream,modular builder system,queued
320,morphous-carpenter-bee,Carpenter Bee,insect,wood beam,carpenter bee,gloss black violet wing timber,sturdy workspace system,queued
321,morphous-paper-wasp,Paper Wasp,insect,dry garden,paper wasp nest,amber black paper grey,structured alert system,queued
322,morphous-potter-wasp,Potter Wasp,insect,mud wall,potter wasp nest,clay brown black yellow leaf,crafted form system,queued
323,morphous-ant-trail,Ant Trail,insect,forest floor,ant trail,black ant soil brown leaf green,network logistics system,queued
324,morphous-leafcutter-ant,Leafcutter Ant,insect,rainforest floor,leafcutter ant carrying leaf,rust ant bright green leaf,collaborative planning system,queued
325,morphous-termite-mound,Termite Mound,insect,savanna,termite mound,clay ochre dry grass sky,architectural monitoring system,queued
326,morphous-lanternfly,Lanternfly,insect,tree bark,lanternfly wings,red black white spot bark grey,pattern alert system,queued
327,morphous-treehopper,Treehopper,insect,tropical stem,treehopper silhouette,green horn brown stem cream,quirky identity system,queued
328,morphous-weevil,Weevil,insect,forest leaf,weevil snout,matte brown leaf green acorn tan,inventory management system,queued
329,morphous-emerald-cockroach,Emerald Cockroach,insect,tropical leaf,emerald cockroach,metallic green amber leg shadow,resilient system,queued
330,morphous-coconut-crab,Coconut Crab,crustacean,island forest,coconut crab claw,blue purple shell sand brown,heavyweight logistics system,queued
331,morphous-hermit-crab,Hermit Crab,crustacean,tidepool,hermit crab shell,coral shell tan claw sea blue,portable workspace system,queued
332,morphous-fiddler-crab,Fiddler Crab,crustacean,mangrove mudflat,fiddler crab claw,orange claw mud brown teal water,asymmetric dashboard system,queued
333,morphous-blue-crab,Blue Crab,crustacean,estuary,blue crab shell,blue shell olive claw cream,coastal operations system,queued
334,morphous-horseshoe-crab,Horseshoe Crab,marine,sandy shore,horseshoe crab shell,bronze shell sand grey sea foam,ancient data system,queued
335,morphous-lobster,Lobster,crustacean,cold reef,lobster claw,red shell deep teal cream,robust commerce system,queued
336,morphous-mantis-shrimp,Mantis Shrimp,crustacean,coral reef,mantis shrimp eyes,rainbow shell teal orange,high energy analytics system,queued
337,morphous-krill,Krill,crustacean,polar ocean,krill swarm,translucent pink blue water silver,swarm metrics system,queued
338,morphous-barnacle,Barnacle,marine,rocky intertidal,barnacle cluster,ivory shell grey rock algae,anchored component system,queued
339,morphous-sea-urchin,Sea Urchin,marine,kelp bed,sea urchin spines,purple spine shell green water,radial navigation system,queued
340,morphous-sand-dollar,Sand Dollar,marine,sandy tideflat,sand dollar shell,cream shell sand tan sea foam,minimal coastal system,queued
341,morphous-nautilus,Nautilus,marine,deep reef,nautilus shell,cream spiral rust stripe ocean blue,spiral knowledge system,queued
342,morphous-cuttlefish,Cuttlefish,marine,seagrass reef,cuttlefish mantle,sepia brown lavender stripe teal,adaptive media system,queued
343,morphous-squid,Squid,marine,open ocean,squid form,rose mauve translucent blue black,swift messaging system,queued
344,morphous-giant-clam,Giant Clam,marine,tropical reef,giant clam mantle,turquoise mantle violet shell cream,vivid marketplace system,queued
345,morphous-abalone,Abalone,marine,rocky coast,abalone shell,iridescent teal pink pearl grey,lustrous portfolio system,queued
346,morphous-conch,Conch,marine,coral sand,conch shell,pink shell cream coral shadow,ornamental commerce system,queued
347,morphous-cowrie,Cowrie,marine,reef flat,cowrie shell,gloss cream brown spots sand,minimal luxury system,queued
348,morphous-scallop,Scallop,marine,seabed,scallop shell,coral fan shell cream blue,radial menu system,queued
349,morphous-oyster-bed,Oyster Bed,marine,tidal estuary,oyster shells,slate grey pearl cream algae green,practical supply system,queued
350,morphous-mussel,Mussel,marine,rocky shore,mussel shells,blue black shell pearl cream seaweed,clustered data system,queued
351,morphous-sea-anemone,Sea Anemone,marine,tidepool,sea anemone tentacles,rose tentacle teal water sand,soft interaction system,queued
352,morphous-feather-star,Feather Star,marine,coral reef,feather star arms,crimson feather gold reef blue,elegant navigation system,queued
353,morphous-brittle-star,Brittle Star,marine,reef rubble,brittle star arms,banded tan brown coral grey,branching analytics system,queued
354,morphous-sea-cucumber,Sea Cucumber,marine,seafloor,sea cucumber texture,umber brown coral pink sand,slow workflow system,queued
355,morphous-blue-ring-octopus,Blue Ring Octopus,marine,tidepool,blue ring octopus,ochre skin electric blue ring,compact warning system,queued
356,morphous-portuguese-man-o-war,Portuguese Man of War,marine,open ocean,man of war float,iridescent violet cyan pink sea blue,ethereal alert system,queued
357,morphous-moon-jelly,Moon Jelly,marine,quiet bay,moon jellyfish,translucent white lavender blue,calm analytics system,queued
358,morphous-lionfish,Lionfish,fish,coral reef,lionfish fins,red white stripe amber spine,ornate security system,queued
359,morphous-clownfish,Clownfish,fish,reef anemone,clownfish stripes,orange white black sea green,friendly product system,queued
360,morphous-blue-tang,Blue Tang,fish,coral reef,blue tang profile,royal blue yellow black reef teal,bright navigation system,queued
361,morphous-mandarin-fish,Mandarin Fish,fish,lagoon reef,mandarin fish pattern,blue orange green swirl,vivid creator system,queued
362,morphous-angelfish,Angelfish,fish,tropical reef,angelfish fins,yellow blue black white,polished portfolio system,queued
363,morphous-parrotfish,Parrotfish,fish,coral reef,parrotfish scales,turquoise pink lime coral,playful ecosystem system,queued
364,morphous-seadragon,Leafy Seadragon,fish,kelp meadow,leafy seadragon,olive gold leaf appendage teal,delicate discovery system,queued
365,morphous-flying-fish,Flying Fish,fish,open ocean,flying fish fins,silver blue translucent fin,swift travel system,queued
366,morphous-trout,Trout,fish,mountain stream,trout flank,olive silver pink spot river blue,clear field system,queued
367,morphous-char,Arctic Char,fish,polar river,arctic char flank,silver pink orange ice blue,cool tracking system,queued
368,morphous-sturgeon,Sturgeon,fish,large river,sturgeon plates,slate grey cream river green,ancient infrastructure system,queued
369,morphous-sea-bass,Sea Bass,fish,rocky coast,sea bass scales,silver olive blue shadow,clean dining system,queued
370,morphous-sardine,Sardine,fish,pelagic shoal,sardine shimmer,silver blue black scale,compact media system,queued
371,morphous-anchovy,Anchovy,fish,coastal shoal,anchovy school,silver stripe sea green,small business system,queued
372,morphous-mackerel,Mackerel,fish,open sea,mackerel pattern,blue green stripe silver,fast operations system,queued
373,morphous-mahi-mahi,Mahi Mahi,fish,tropical ocean,mahi mahi colors,turquoise yellow green blue,high energy travel system,queued
374,morphous-sailfish,Sailfish,fish,open ocean,sailfish sail,indigo sail silver stripe,swift analytics system,queued
375,morphous-sea-otter,Sea Otter,mammal,kelp forest,sea otter fur,brown fur cream face kelp green,playful learning system,queued
376,morphous-harbor-seal,Harbor Seal,mammal,cold coast,harbor seal spots,grey spotted fur sea blue,calm support system,queued
377,morphous-walrus,Walrus,mammal,arctic coast,walrus tusk,cinnamon hide ivory tusk ice grey,heavy knowledge system,queued
378,morphous-beluga,Beluga Whale,mammal,arctic sea,beluga profile,white skin ice blue shadow,clean healthcare system,queued
379,morphous-narwhal,Narwhal,mammal,arctic sea,narwhal tusk,grey mottled ivory ice blue,precise discovery system,queued
380,morphous-orca,Orca,mammal,pacific coast,orca pattern,black white ocean blue,high contrast enterprise system,queued
381,morphous-humpback,Humpback Whale,mammal,open ocean,humpback fluke,slate blue white spray grey,expansive storytelling system,queued
382,morphous-blue-whale,Blue Whale,mammal,deep ocean,blue whale skin,blue grey silver ocean shadow,large scale data system,queued
383,morphous-dolphin,Dolphin,mammal,warm sea,dolphin arc,silver grey aqua blue,fluid collaboration system,queued
384,morphous-manatee,Manatee,mammal,warm spring,manatee form,soft grey seagrass green water,slow wellness system,queued
385,morphous-red-panda,Red Panda,mammal,temperate bamboo,red panda face,rust red white black bamboo green,friendly knowledge system,queued
386,morphous-snow-leopard,Snow Leopard,mammal,high mountains,snow leopard coat,smoke grey black rosette snow,quiet security system,queued
387,morphous-clouded-leopard,Clouded Leopard,mammal,tropical forest,clouded leopard pattern,taupe black cloud green,stealth analytics system,queued
388,morphous-tiger,Tiger,mammal,mangrove forest,tiger stripe,orange black white leaf green,bold operations system,queued
389,morphous-lynx,Lynx,mammal,boreal forest,lynx ear tufts,tawny fur black tuft snow,focused research system,queued
390,morphous-caracal,Caracal,mammal,dry savanna,caracal profile,cinnamon fur black ear sand,agile planning system,queued
391,morphous-fennec-fox,Fennec Fox,mammal,sahara desert,fennec fox ears,sand cream amber eye dusk,light desert system,queued
392,morphous-wolf,Wolf,mammal,taiga forest,wolf coat,grey fur amber eye snow pine,strong team system,queued
393,morphous-coyote,Coyote,mammal,chaparral,coyote profile,tan grey rust sage,adaptive field system,queued
394,morphous-bison,Bison,mammal,tallgrass prairie,bison head,deep brown wool prairie gold,sturdy enterprise system,queued
395,morphous-pronghorn,Pronghorn,mammal,shortgrass prairie,pronghorn markings,tan white black grass gold,fast routing system,queued
396,morphous-moose,Moose,mammal,boreal wetland,moose antler,dark brown antler cream spruce,large form system,queued
397,morphous-elk,Elk,mammal,mountain meadow,elk antlers,tawny fur dark mane grass green,clear governance system,queued
398,morphous-reindeer,Reindeer,mammal,arctic tundra,reindeer antler,taupe fur cream antler snow,seasonal logistics system,queued
399,morphous-mountain-goat,Mountain Goat,mammal,alpine cliff,mountain goat fur,white fur black horn granite,stable climbing system,queued
400,morphous-bighorn-sheep,Bighorn Sheep,mammal,desert canyon,bighorn horn,tan fur horn brown rock,solid finance system,queued
401,morphous-ibex,Ibex,mammal,alpine rock,ibex horns,warm brown grey horn lichen,precise navigation system,queued
402,morphous-gazelle,Gazelle,mammal,savanna,gazelle profile,fawn tan white black acacia,graceful metrics system,queued
403,morphous-okapi,Okapi,mammal,congo forest,okapi stripes,mahogany white stripe deep green,distinctive catalog system,queued
404,morphous-giraffe,Giraffe,mammal,acacia savanna,giraffe patches,ochre tan chestnut sky blue,tall overview system,queued
405,morphous-zebra,Zebra,mammal,grassland,zebra stripe,black white grass gold,high contrast dashboard system,queued
406,morphous-elephant,Elephant,mammal,savanna woodland,elephant skin,slate grey ivory dust tan,grounded enterprise system,queued
407,morphous-rhinoceros,Rhinoceros,mammal,grassland,rhino horn,stone grey horn cream grass,robust security system,queued
408,morphous-hippopotamus,Hippopotamus,mammal,river pool,hippo skin,mauve grey water green mud brown,heavy data system,queued
409,morphous-tapir,Tapir,mammal,tropical wetland,tapir markings,black white tan leaf green,quiet field system,queued
410,morphous-anteater,Anteater,mammal,forest savanna,anteater stripe,grey black cream grass,linear workflow system,queued
411,morphous-pangolin,Pangolin,mammal,tropical woodland,pangolin scales,bronze brown scale leaf green,armored privacy system,queued
412,morphous-armadillo,Armadillo,mammal,thorn scrub,armadillo shell,taupe armor sand grass,protective utility system,queued
413,morphous-hedgehog,Hedgehog,mammal,hedgerow,hedgehog spines,brown spine cream face leaf,compact personal system,queued
414,morphous-chipmunk,Chipmunk,mammal,forest floor,chipmunk stripes,rust tan black stripe moss,quick notes system,queued
415,morphous-squirrel,Squirrel,mammal,oak park,squirrel tail,grey brown fur acorn tan,resource planning system,queued
416,morphous-flying-squirrel,Flying Squirrel,mammal,night forest,flying squirrel glide,soft grey cream night green,quiet mobility system,queued
417,morphous-beaver,Beaver,mammal,woodland stream,beaver tail,brown fur bark tan water blue,constructive operations system,queued
418,morphous-muskrat,Muskrat,mammal,marsh,muskrat fur,warm brown reed green water,practical wetland system,queued
419,morphous-bat,Bat,mammal,cave mouth,bat wing,charcoal wing umber body dusk blue,night monitoring system,queued
420,morphous-fruit-bat,Fruit Bat,mammal,tropical canopy,fruit bat face,black wing amber eye fig purple,expressive media system,queued
421,morphous-hummingbird-hawk-moth,Hummingbird Hawk Moth,insect,flower meadow,hawk moth hover,taupe wing orange tail lavender,swift creator system,queued
422,morphous-hercules-moth,Hercules Moth,insect,queensland forest,hercules moth wing,rust brown cream spot green,grand editorial system,queued
423,morphous-atlas-moth,Atlas Moth,insect,tropical forest,atlas moth wing,copper brown cream black snake tip,large canvas system,queued
424,morphous-cecropia-moth,Cecropia Moth,insect,deciduous forest,cecropia moth wing,red brown cream crescent charcoal,warm archive system,queued
425,morphous-rosy-maple-moth,Rosy Maple Moth,insect,maple forest,rosy maple moth,pink yellow fuzzy wing,playful brand system,queued
426,morphous-glowworm,Glowworm,insect,limestone cave,glowworm threads,blue green glow cave black,luminous wayfinding system,queued
427,morphous-garden-snail,Garden Snail,mollusk,garden wall,garden snail shell,spiral brown shell moss green,slow task system,queued
428,morphous-banana-slug,Banana Slug,mollusk,temperate rainforest,banana slug,yellow body forest floor brown,soft ecological system,queued
429,morphous-sea-slug,Sea Slug,mollusk,coral reef,nudibranch form,electric blue orange white,expressive gallery system,queued
430,morphous-blue-dragon-slug,Blue Dragon Sea Slug,mollusk,open ocean,blue dragon slug,blue silver white sea,sharp identity system,queued
431,morphous-green-sea-slug,Leaf Sheep Sea Slug,mollusk,shallow reef,leaf sheep slug,green leaf white face black eye,cute learning system,queued
432,morphous-glass-squid,Glass Squid,marine,deep ocean,glass squid body,transparent blue violet silver,deep research system,queued
433,morphous-vampire-squid,Vampire Squid,marine,deep ocean,vampire squid cloak,burgundy black blue glow,dramatic dashboard system,queued
434,morphous-dumbo-octopus,Dumbo Octopus,marine,deep sea,dumbo octopus fins,soft pink grey midnight blue,gentle discovery system,queued
435,morphous-coelacanth,Coelacanth,fish,deep reef,coelacanth scales,steel blue white fleck shadow,ancient archive system,queued
436,morphous-oarfish,Oarfish,fish,deep ocean,oarfish ribbon,silver red fin dark blue,vertical timeline system,queued
437,morphous-betta-scale,Betta Scale,fish,aquatic tank,betta scale detail,teal crimson violet shimmer,fluid component system,queued
438,morphous-koi-scale,Koi Scale,fish,koi pond,koi scale pattern,orange white black jade water,ornamental content system,queued
439,morphous-goldfish,Goldfish,fish,garden pond,goldfish fins,orange gold white water green,friendly dashboard system,queued
440,morphous-seahorse-tail,Seahorse Tail,marine,seagrass meadow,seahorse curled tail,golden ochre teal green,delicate profile system,queued
441,morphous-axolotl,Axolotl,amphibian,mexican lake,axolotl gills,pale pink coral gill water green,charming wellness system,queued
442,morphous-poison-dart-frog,Poison Dart Frog,amphibian,rainforest floor,dart frog,blue black yellow leaf green,high signal interface system,queued
443,morphous-red-eyed-tree-frog,Red Eyed Tree Frog,amphibian,rainforest pond,red eyed frog,green body red eye orange foot,playful onboarding system,queued
444,morphous-glass-frog,Glass Frog,amphibian,cloud forest stream,glass frog body,translucent lime leaf green,transparent analytics system,queued
445,morphous-newt,Newt,amphibian,woodland pool,newt body,olive brown orange belly moss,adaptive field system,queued
446,morphous-hellbender,Hellbender,amphibian,rocky stream,hellbender skin,mottled brown river stone grey,rugged research system,queued
447,morphous-caecilian,Caecilian,amphibian,tropical soil,caecilian body,slate violet soil brown,subsurface data system,queued
448,morphous-tortoise,Tortoise,reptile,dry scrub,tortoise shell,olive shell sand brown cream,steady planning system,queued
449,morphous-box-turtle,Box Turtle,reptile,woodland floor,box turtle shell,brown amber orange green,compact secure system,queued
450,morphous-painted-turtle,Painted Turtle,reptile,pond log,painted turtle shell,black shell red stripe olive,clean field system,queued
451,morphous-iguana,Iguana,reptile,tropical shore,iguana crest,green scale turquoise dewlap,adaptive settings system,queued
452,morphous-basilisk-lizard,Basilisk Lizard,reptile,river forest,basilisk crest,emerald green blue brown,swift navigation system,queued
453,morphous-horned-lizard,Horned Lizard,reptile,desert wash,horned lizard body,sand tan rust horn shadow,defensive utility system,queued
454,morphous-skink,Skink,reptile,leaf litter,blue tailed skink,black body blue tail leaf brown,sharp mobile system,queued
455,morphous-anole,Anole,reptile,garden branch,anole dewlap,green body pink dewlap bark,light interaction system,queued
456,morphous-gila-monster,Gila Monster,reptile,sonoran desert,gila monster pattern,black orange bead scale sand,bold warning system,queued
457,morphous-python,Python,reptile,tropical forest,python scales,gold brown black pattern leaf,flexible automation system,queued
458,morphous-coral-snake,Coral Snake,reptile,pine woodland,coral snake bands,red yellow black leaf litter,high contrast alert system,queued
459,morphous-green-viper,Green Viper,reptile,rainforest branch,green viper head,leaf green yellow eye shadow,sharp security system,queued
460,morphous-rattlesnake,Rattlesnake,reptile,desert scrub,rattlesnake rattle,tan diamond brown sage,warning operations system,queued
461,morphous-crocodile,Crocodile,reptile,tropical river,crocodile scales,olive armor mud brown water,robust enterprise system,queued
462,morphous-alligator,Alligator,reptile,swamp bayou,alligator eye,dark green black water brown,stealth monitoring system,queued
463,morphous-caiman,Caiman,reptile,amazon oxbow,caiman scales,bronze green water black,compact control system,queued
464,morphous-tufted-puffin,Tufted Puffin,bird,north pacific cliff,tufted puffin face,black white gold tuft coral,coastal content system,queued
465,morphous-mandarin-duck,Mandarin Duck,bird,woodland pond,mandarin duck plumage,orange teal purple cream,ornate dashboard system,queued
466,morphous-wood-duck,Wood Duck,bird,forest wetland,wood duck head,green crest chestnut white water,polished nature system,queued
467,morphous-mallard,Mallard,bird,city pond,mallard head,emerald head yellow bill grey,familiar operations system,queued
468,morphous-eider-duck,Eider Duck,bird,arctic coast,eider plumage,black white sea green down cream,soft insulation system,queued
469,morphous-swan,Swan,bird,lake,swan feather,white feather black bill lake blue,elegant hospitality system,queued
470,morphous-pelican,Pelican,bird,coastal lagoon,pelican bill,cream feather yellow pouch sea blue,large input system,queued
471,morphous-cormorant,Cormorant,bird,rocky coast,cormorant silhouette,black feather teal water grey,efficient media system,queued
472,morphous-heron,Heron,bird,marsh edge,heron profile,blue grey feather reed green,calm research system,queued
473,morphous-egret,Egret,bird,tidal marsh,egret plume,white plume black leg marsh green,minimal editorial system,queued
474,morphous-spoonbill,Roseate Spoonbill,bird,shallow wetland,spoonbill feather,rose pink spoon bill white,distinctive product system,queued
475,morphous-ibis,Scarlet Ibis,bird,mangrove lagoon,scarlet ibis plumage,scarlet feather black bill teal,bold travel system,queued
476,morphous-avocet,Avocet,bird,salt pan,avocet bill,black white rust head pale blue,precise form system,queued
477,morphous-sandpiper,Sandpiper,bird,shoreline,sandpiper pattern,tan speckle white wet sand,compact timeline system,queued
478,morphous-oystercatcher,Oystercatcher,bird,rocky shore,oystercatcher beak,black white red beak sea grey,high signal system,queued
479,morphous-albatross,Albatross,bird,open ocean,albatross wing,white black wing ocean blue,wide navigation system,queued
480,morphous-frigatebird,Frigatebird,bird,tropical sky,frigatebird pouch,black wing red throat sky,dramatic alert system,queued
481,morphous-harpy-eagle,Harpy Eagle,bird,rainforest canopy,harpy eagle crest,grey white black feather green,powerful command system,queued
482,morphous-bald-eagle,Bald Eagle,bird,river forest,bald eagle head,white head brown feather yellow,clear governance system,queued
483,morphous-falcon,Falcon,bird,cliff sky,falcon wing,slate grey cream black eye,fast analytics system,queued
484,morphous-kestrel,Kestrel,bird,farmland edge,kestrel feather,rust brown slate blue cream,light monitoring system,queued
485,morphous-barn-owl,Barn Owl,bird,field barn,barn owl face,cream heart face gold brown,focused reading system,queued
486,morphous-snowy-owl,Snowy Owl,bird,arctic tundra,snowy owl plumage,white black speckle ice blue,clean research system,queued
487,morphous-king-vulture,King Vulture,bird,tropical forest,king vulture face,orange yellow purple black white,vivid operations system,queued
488,morphous-secretary-bird,Secretary Bird,bird,savanna,secretary bird crest,grey black orange face grass,formal workflow system,queued
489,morphous-ostrich,Ostrich,bird,open savanna,ostrich feather,black white feather tan grass,large scale admin system,queued
490,morphous-emu,Emu,bird,australian scrub,emu feather,brown shaggy feather blue skin,rugged field system,queued
491,morphous-cassowary,Cassowary,bird,tropical rainforest,cassowary casque,black feather blue neck red wattle,dramatic identity system,queued
492,morphous-kiwi-bird,Kiwi Bird,bird,new zealand forest,kiwi bird profile,brown feather cream beak fern,quiet conservation system,queued
